	countsfilteredBeiRNA_BagBrown_mean	countsfilteredBeiRNA_SeaWater_mean	theta	prob	log2FC
TRINITY_DN1086_c0_g1~~TRINITY_DN1086_c0_g1_i1.p1	275.230966077775	204.1265799413	2.13402984636257	0.999999999999999	0.431178743660581
TRINITY_DN962_c0_g1~~TRINITY_DN962_c0_g1_i42.p1	0.504920943675	52.5342685893	-1.97959449436639	0.999999999999999	-6.7010574825978
TRINITY_DN368_c0_g1~~TRINITY_DN368_c0_g1_i17.p1	16.59236103825	0.473810548025	2.96140304820646	0.999999999999999	5.1300650650431
TRINITY_DN695_c0_g1~~TRINITY_DN695_c0_g1_i6.p1	200.107868651075	140.037677722425	2.0854202164535	0.999999999999999	0.514962855553668
TRINITY_DN2379_c3_g1~~TRINITY_DN2379_c3_g1_i1.p1	690.456193585425	480.879676169325	2.92902386455489	0.999999999999998	0.521873931076805
TRINITY_DN4673_c2_g1~~TRINITY_DN4673_c2_g1_i13.p1	0.5	5.7222453292	-1.89426225309699	0.999999999999998	-3.5165813514942
TRINITY_DN551_c2_g1~~TRINITY_DN551_c2_g1_i21.p1	2.650387128875	1463.7610773625	-2.53713886914586	0.999999999999998	-9.10926127100867
TRINITY_DN17459_c0_g1~~TRINITY_DN17459_c0_g1_i6.p1	0.6556463783	22.7614175246	-2.14139733388463	0.999999999999998	-5.11752868806543
TRINITY_DN1047_c2_g1~~TRINITY_DN1047_c2_g1_i1.p1	0.43666026445	7.373968955075	-1.85766990377268	0.999999999999998	-4.07785818387795
TRINITY_DN6123_c0_g1~~TRINITY_DN6123_c0_g1_i4.p1	1362.50701057238	16.376090053375	2.63431807831386	0.999999999999998	6.37852890186462
TRINITY_DN3777_c1_g1~~TRINITY_DN3777_c1_g1_i10.p1	13.600955983975	172.958135637	-1.89517146884388	0.999999999999998	-3.66864291276583
TRINITY_DN1181_c1_g2~~TRINITY_DN1181_c1_g2_i2.p1	0.937433816075	5.33952999545	-1.85512943368651	0.999999999999997	-2.50992401307323
TRINITY_DN3197_c0_g1~~TRINITY_DN3197_c0_g1_i4.p1	0.621289929075	40.856605840675	-3.38982005060828	0.999999999999997	-6.03915887823507
TRINITY_DN670_c0_g2~~TRINITY_DN670_c0_g2_i19.p1	0.480461532525	12.2640693268	-2.08808934719356	0.999999999999996	-4.67387301894984
TRINITY_DN11499_c1_g1~~TRINITY_DN11499_c1_g1_i1.p1	11.2215297785	1080.00387378365	-1.81259510183934	0.999999999999996	-6.58862331166648
TRINITY_DN1244_c3_g2~~TRINITY_DN1244_c3_g2_i1.p1	17.590407441275	78.016247788325	-2.53604351352471	0.999999999999996	-2.14898571333401
TRINITY_DN2936_c0_g1~~TRINITY_DN2936_c0_g1_i6.p1	3.53265852375	9.333840856975	-1.81260912922454	0.999999999999996	-1.40171656820562
TRINITY_DN236_c0_g1~~TRINITY_DN236_c0_g1_i3.p1	6.209824600175	44.51713033815	-1.84725211522934	0.999999999999995	-2.84173617227602
TRINITY_DN14717_c0_g2~~TRINITY_DN14717_c0_g2_i2.p1	1.497166495025	47.32737972095	-2.30382851955281	0.999999999999994	-4.98236847665495
TRINITY_DN3635_c0_g1~~TRINITY_DN3635_c0_g1_i8.p1	52.817519036725	0.43550215855	3.30695589462465	0.999999999999993	6.92219285658174
TRINITY_DN1381_c0_g1~~TRINITY_DN1381_c0_g1_i8.p1	13.272632423075	0.358156562325	2.88944401065634	0.999999999999993	5.2117203492185
TRINITY_DN6393_c0_g1~~TRINITY_DN6393_c0_g1_i9.p1	4.493124125325	27.755265852175	-1.81711234194802	0.999999999999993	-2.62697068907017
TRINITY_DN1090_c0_g1~~TRINITY_DN1090_c0_g1_i13.p1	7.13202019725	51.0214944791	-2.1340186921932	0.999999999999992	-2.83872246411423
TRINITY_DN5628_c0_g1~~TRINITY_DN5628_c0_g1_i2.p1	9.814804081025	26.4314939203	-1.81920321101719	0.999999999999992	-1.4292265944548
